Player,Tm,Total_Yds,Rush_Yds,Rec_Yds,Yds/Rush,Receptions/G,Total_TDs,Age
Josh Jacobs,LVR,2053.0,1653,400.0,4.9,3.1,12.0,24
Derrick Henry,TEN,1936.0,1538,398.0,4.4,2.1,13.0,28
Christian McCaffrey,2TM,1880.0,1139,741.0,4.7,5.0,13.0,26
Nick Chubb,CLE,1764.0,1525,239.0,5.0,1.6,13.0,27
Saquon Barkley,NYG,1650.0,1312,338.0,4.4,3.6,10.0,25
Austin Ekeler,LAC,1637.0,915,722.0,4.5,6.3,18.0,27
Aaron Jones,GNB,1516.0,1121,395.0,5.3,3.5,7.0,28
Dalvin Cook,MIN,1468.0,1173,295.0,4.4,2.3,10.0,27
Rhamondre Stevenson,NWE,1461.0,1040,421.0,5.0,4.1,6.0,24
Travis Etienne,JAX,1441.0,1125,316.0,5.1,2.1,5.0,23
Alvin Kamara,NOR,1387.0,897,490.0,4.0,3.8,4.0,27
Tony Pollard,DAL,1378.0,1007,371.0,5.2,2.4,12.0,25
Miles Sanders,PHI,1347.0,1269,78.0,4.9,1.2,11.0,25
Najee Harris,PIT,1263.0,1034,229.0,3.8,2.4,10.0,24
Joe Mixon,CIN,1255.0,814,441.0,3.9,4.3,9.0,26
Kenneth Walker III,SEA,1215.0,1050,165.0,4.6,1.8,9.0,22
Leonard Fournette,TAM,1191.0,668,523.0,3.5,4.6,6.0,27
Tyler Allgeier,ATL,1174.0,1035,139.0,4.9,1.0,4.0,22
Jamaal Williams,DET,1139.0,1066,73.0,4.1,0.7,17.0,27
David Montgomery,CHI,1117.0,801,316.0,4.0,2.1,6.0,25
Dameon Pierce,HOU,1104.0,939,165.0,4.3,2.3,5.0,22
Devin Singletary,BUF,1099.0,819,280.0,4.6,2.4,6.0,25
Raheem Mostert,MIA,1093.0,891,202.0,4.9,1.9,5.0,30
James Conner,ARI,1082.0,782,300.0,4.3,3.5,8.0,27
Jeff Wilson,2TM,1045.0,860,185.0,4.9,1.4,6.0,27
Jonathan Taylor,IND,1004.0,861,143.0,4.5,2.5,4.0,23
AJ Dillon,GNB,976.0,770,206.0,4.1,1.6,7.0,24
Ezekiel Elliott,DAL,968.0,876,92.0,3.8,1.1,12.0,27
Isiah Pacheco,KAN,960.0,830,130.0,4.9,0.8,5.0,23
D'Onta Foreman,CAR,940.0,914,26.0,4.5,0.3,5.0,26
D'Andre Swift,DET,931.0,542,389.0,5.5,3.4,8.0,23
Cam Akers,LAR,903.0,786,117.0,4.2,0.9,7.0,23
Antonio Gibson,WAS,899.0,546,353.0,3.7,3.1,5.0,24
Latavius Murray,2TM,892.0,760,132.0,4.4,2.1,6.0,32
Brian Robinson Jr.,WAS,857.0,797,60.0,3.9,0.8,3.0,23
Cordarrelle Patterson,ATL,817.0,695,122.0,4.8,1.6,8.0,31
Khalil Herbert,CHI,788.0,731,57.0,5.7,0.7,5.0,24
Rachaad White,TAM,771.0,481,290.0,3.7,2.9,3.0,23
Michael Carter,NYJ,690.0,402,288.0,3.5,2.6,3.0,23
Kareem Hunt,CLE,678.0,468,210.0,3.8,2.1,4.0,27
Chuba Hubbard,CAR,637.0,466,171.0,4.9,0.9,2.0,23
Kenyan Drake,BAL,571.0,482,89.0,4.4,1.4,5.0,28
J.K. Dobbins,BAL,562.0,520,42.0,5.7,0.9,3.0,24
Damien Harris,NWE,559.0,462,97.0,4.4,1.5,3.0,25
Melvin Gordon,DEN,541.0,318,223.0,3.5,2.5,2.0,29
Zack Moss,2TM,495.0,456,39.0,4.9,0.8,1.0,25
James Robinson,2TM,476.0,425,51.0,3.9,1.0,5.0,24
Clyde Edwards-Helaire,KAN,453.0,302,151.0,4.3,1.7,6.0,23
Gus Edwards,BAL,433.0,433,0.0,5.0,0.0,3.0,27
Darrell Henderson,LAR,385.0,283,102.0,4.0,1.7,3.0,25
Caleb Huntley,ATL,369.0,366,3.0,4.8,0.2,1.0,24
